company_id,name,sectors,n_ties,n_directors,first_year,last_year
aeropostale,Compagnie générale Aéropostale,Transports aériens,15,9,1929,1931
agencecoloniale,Agence coloniale française,Documents généraux (par ordre chronologique); Presse coloniale métropolitaine,11,9,1925,1937
etablissementsbeccatdoulaincourtmusseycorbiebonneville,"Établissements Beccat, Doulaincourt et Mussey, Corbie, Bonneville",Groupes industriels transcoloniaux,11,9,1919,1922
exploitationsminieresindustrielles,Société d'Exploitations minières et industrielles,Groupes financiers transcoloniaux,11,9,1911,1919
lyonnaiseexplorationetudes,"Compagnie Lyonnaise d'exploration et d’études, puis Compagnie lyonnaise d'exploration et de banque",Groupes financiers transcoloniaux,11,9,1899,1901
minesblaymard,MINES DU BLAYMARD,Groupes financiers transcoloniaux,11,9,1925,1938
tabacsorientoutremer,Société des Tabacs d'Orient et d'Outremer,Sociétés commerciales transcoloniales,11,9,1920,1930
creditmarocain,Crédit marocain,Documents généraux (par ordre chronologique),10,9,1937,1937
africaineagricoleminiere,Compagnie africaine agricole et minière,Groupes financiers transcoloniaux,10,9,1951,1951
mutuellefrancecolonieslyonnationviecapitalisationparis,"Mutuelle de France et des Colonies, Lyon. La Nation-Vie et Capitalisation à Paris",Groupes financiers transcoloniaux,10,9,1921,1927
saigonnaisenavigationtransport,Compagnie Saïgonnaise de navigation et de transport,Documents généraux (par ordre chronologique),9,9,1937,1937
unionnavigationalsaciennefruitiereafricaine,Union de navigation alsacienne et fruitière africaine,Documents généraux (par ordre chronologique),9,9,1937,1937
messageriesfluvialescochinchine,Messageries fluviales de Cochinchine,Documents généraux (par ordre chronologique),9,9,1937,1937
nantescolonial,Nantes-Colonial,Documents généraux (par ordre chronologique),9,9,1937,1937
charbonnagesfaulquemont,Société des Charbonnages de Faulquemont,Groupes miniers transcoloniaux,9,9,1938,1938
industriellebasogooue,Société Industrielle du Bas-Ogooué,Groupes financiers transcoloniaux,9,9,1922,1925
industriellefonciereroutiere,L'Industrielle Foncière et Routière,Bâtiment et travaux publics,9,9,1953,1953
minesfergoa,Compagnie des Mines de fer de Goa,Groupes miniers transcoloniaux,9,9,1911,1911
pagescamus,"Pagès, Camus et Cie, puis Camus, Duchemin et Cie",Groupes industriels transcoloniaux,9,9,1912,1918
etablissementspolietchausson,Établissements POLIET et CHAUSSON,Groupes industriels transcoloniaux,9,9,1938,1938
colonialegeranceetudes,Société Coloniale de gérance et d'études,Groupes financiers transcoloniaux,9,9,1937,1937
moteursautomobileslorraine,Moteurs et automobiles Lorraine,Groupes financiers transcoloniaux,21,8,1937,1948
socgenetsbergougnan,Soc. gén. Éts Bergougnan,Groupes industriels transcoloniaux,20,8,1912,1948
malfidano,Malfidano,Groupes miniers transcoloniaux,12,8,1894,1899
materiauxindustriels,Cie des MATÉRIAUX INDUSTRIELS,Bâtiment et travaux publics,10,8,1925,1925
etablissementsmaurelhprom,Etablissements MAUREL et H. PROM,Sociétés commerciales transcoloniales,9,8,1925,1925
delmasvieljeux,Cie Delmas-Vieljeux,Documents généraux (par ordre chronologique),9,8,1937,1937
creditfoncierafrique,Crédit foncier de l'Afrique française,Documents généraux (par ordre chronologique),9,8,1937,1937
commerciale,Compagnie commerciale française,Sociétés commerciales transcoloniales,9,8,1911,1911
chineindes,Compagnie de la Chine et des Indes,Sociétés commerciales transcoloniales,9,8,1921,1921
