person_id,name,name_as_parsed,positionality,positionality_group,confidence,evidence,regions,countries,n_board_companies,n_board_ties,first_year,last_year
carre,Carre,Carre,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Empire (transversal); Indochine,Afrique occidentale française; Côte d'Ivoire; Indochine,8,6,1910,1956
henry-e,E Henry,E Henry,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Empire (transversal); Indochine; Madagascar et Djibouti,Chine; Côte d'Ivoire; Indochine; Madagascar,8,6,1912,1956
granval-a,A. GRANVAL,A. GRANVAL,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Indochine,Indochine,8,9,1890,1941
e-mazet,E MAZET,E MAZET,colonial,european_unspecified,low,residual_no_indigenous_marker,Indochine,Indochine,8,9,1938,1971
daher-andre-depute-marseille-psf,"Daher (André)(1891-1974, député Marseille 1936-42, PSF)","Daher (André)(1891-1974, député Marseille 1936-42, PSF)",unclassified,unusable_name,,name_is_parse_artefact,Empire (transversal),,8,0,1956,1956
litzelmann-g,G Litzelmann,G Litzelmann,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,8,0,1956,1956
toussaint,Toussaint,Toussaint,colonial,european_unspecified,low,residual_no_indigenous_marker,Maroc,Maroc,8,8,1926,1952
vincent-a,A Vincent,A Vincent,colonial,european_unspecified,low,residual_no_indigenous_marker,Antilles-Guyane; Empire (transversal); Indochine; Maroc,Guyane française; Indochine; Maroc,8,7,1890,1956
d-hombres-h,Henri d'Hombres,Henri d'Hombres,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Afrique occidentale francaise,Afrique occidentale française; Afrique équatoriale française,8,8,1947,1951
leroux-e,E Leroux,E Leroux,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,8,2,1937,1956
denis-a,A Denis,A Denis,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Indochine,Indochine,8,6,1890,1956
berquet-o,O. Berquet,O. Berquet,colonial,european_unspecified,low,residual_no_indigenous_marker,Indochine,Indochine,8,8,1890,1937
gauthier-j,J Gauthier,J Gauthier,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Indochine,Indochine,8,1,1931,1956
rothschild,Rothschild,Rothschild,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Pacifique,Nouvelle-Calédonie (Mélanésie),8,1,1922,1956
baudot-h,H Baudot,H Baudot,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,8,0,1956,1956
bouteville-r,Roger Bouteville,Roger Bouteville,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,8,0,1956,1956
dernis-g,G Dernis,G Dernis,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,8,0,1956,1956
descamps-c,C Descamps,C Descamps,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,8,0,1956,1956
francin-p,Paul Francin,Paul Francin,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,8,0,1956,1956
georges-picot-j,Jacques Georges-Picot,Jacques Georges-Picot,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,8,0,1956,1956
lalanne-p,Pierre Lalanne,Pierre Lalanne,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,8,0,1956,1956
marchand-c,C Marchand,C Marchand,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,8,0,1956,1956
menell-s,Siméon Gordon Menell,Siméon Gordon Menell,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,8,0,1956,1956
norguet-r,René Norguet,René Norguet,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,8,0,1956,1956
o-palangie,O Palangie,O Palangie,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,8,0,1956,1956
rudd-h,H.P Rudd,H.P Rudd,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,8,0,1956,1956
villie-e,Ed Villié,Ed Villié,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,8,0,1956,1956
vogue-ctesse-bertrand-denee-simone-de-mun,Vogüé (ctesse Bertrand de)(née Simone de Mun),Vogüé (ctesse Bertrand de)(née Simone de Mun),unclassified,unusable_name,,name_is_parse_artefact,Empire (transversal),,8,0,1956,1956
davillier-j,J. Davillier,J. Davillier,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Empire (transversal),Afrique occidentale française; Sénégal,7,29,1925,1975
